Region,Country Name,Millions of poor,Poverty Line
East Asia & Pacific,Mongolia,0.01,$3.00 (2021 PPP)
East Asia & Pacific,Mongolia,0.03,$4.20 (2021 PPP)
East Asia & Pacific,Mongolia,0.52,$8.30 (2021 PPP)
East Asia & Pacific,Northern Mariana Islands,0,$3.00 (2021 PPP)
East Asia & Pacific,Northern Mariana Islands,0,$4.20 (2021 PPP)
East Asia & Pacific,Northern Mariana Islands,0,$8.30 (2021 PPP)
Sub-Saharan Africa,Mozambique,29.75,$3.00 (2021 PPP)
Sub-Saharan Africa,Mozambique,32.6,$4.20 (2021 PPP)
Sub-Saharan Africa,Mozambique,35.26,$8.30 (2021 PPP)
Sub-Saharan Africa,Mauritania,0.43,$3.00 (2021 PPP)
Sub-Saharan Africa,Mauritania,1.17,$4.20 (2021 PPP)
Sub-Saharan Africa,Mauritania,3.62,$8.30 (2021 PPP)
Sub-Saharan Africa,Mauritius,0,$3.00 (2021 PPP)
Sub-Saharan Africa,Mauritius,0.02,$4.20 (2021 PPP)
Sub-Saharan Africa,Mauritius,0.19,$8.30 (2021 PPP)
Sub-Saharan Africa,Malawi,17.39,$3.00 (2021 PPP)
Sub-Saharan Africa,Malawi,20.02,$4.20 (2021 PPP)
Sub-Saharan Africa,Malawi,22.15,$8.30 (2021 PPP)
East Asia & Pacific,Malaysia,0,$3.00 (2021 PPP)
East Asia & Pacific,Malaysia,0.01,$4.20 (2021 PPP)
East Asia & Pacific,Malaysia,0.49,$8.30 (2021 PPP)
Sub-Saharan Africa,Namibia,0.7,$3.00 (2021 PPP)
Sub-Saharan Africa,Namibia,1.07,$4.20 (2021 PPP)
Sub-Saharan Africa,Namibia,1.89,$8.30 (2021 PPP)
East Asia & Pacific,New Caledonia,0,$3.00 (2021 PPP)
East Asia & Pacific,New Caledonia,0,$4.20 (2021 PPP)
East Asia & Pacific,New Caledonia,0.01,$8.30 (2021 PPP)
Sub-Saharan Africa,Niger,14.7,$3.00 (2021 PPP)
Sub-Saharan Africa,Niger,21.66,$4.20 (2021 PPP)
Sub-Saharan Africa,Niger,27.33,$8.30 (2021 PPP)
Sub-Saharan Africa,Nigeria,95,$3.00 (2021 PPP)
Sub-Saharan Africa,Nigeria,148.43,$4.20 (2021 PPP)
Sub-Saharan Africa,Nigeria,222.75,$8.30 (2021 PPP)
Latin America & Caribbean,Nicaragua,0.36,$3.00 (2021 PPP)
Latin America & Caribbean,Nicaragua,0.73,$4.20 (2021 PPP)
Latin America & Caribbean,Nicaragua,2.74,$8.30 (2021 PPP)
Europe & Central Asia,Netherlands,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Netherlands,0.02,$4.20 (2021 PPP)
Europe & Central Asia,Netherlands,0.05,$8.30 (2021 PPP)
Europe & Central Asia,Norway,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Norway,0.01,$4.20 (2021 PPP)
Europe & Central Asia,Norway,0.02,$8.30 (2021 PPP)
South Asia,Nepal,0.41,$3.00 (2021 PPP)
South Asia,Nepal,1.97,$4.20 (2021 PPP)
South Asia,Nepal,13.47,$8.30 (2021 PPP)
East Asia & Pacific,Nauru,0,$3.00 (2021 PPP)
East Asia & Pacific,Nauru,0,$4.20 (2021 PPP)
East Asia & Pacific,Nauru,0.01,$8.30 (2021 PPP)
East Asia & Pacific,New Zealand,0,$3.00 (2021 PPP)
East Asia & Pacific,New Zealand,0.01,$4.20 (2021 PPP)
East Asia & Pacific,New Zealand,0.04,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Oman,0.01,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Oman,0.02,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Oman,0.14,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Pakistan,57.25,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Pakistan,121.44,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Pakistan,224.58,$8.30 (2021 PPP)
Latin America & Caribbean,Panama,0.13,$3.00 (2021 PPP)
Latin America & Caribbean,Panama,0.28,$4.20 (2021 PPP)
Latin America & Caribbean,Panama,0.85,$8.30 (2021 PPP)
Latin America & Caribbean,Peru,1.66,$3.00 (2021 PPP)
Latin America & Caribbean,Peru,3.43,$4.20 (2021 PPP)
Latin America & Caribbean,Peru,12.07,$8.30 (2021 PPP)
East Asia & Pacific,Philippines,9.68,$3.00 (2021 PPP)
East Asia & Pacific,Philippines,27.61,$4.20 (2021 PPP)
East Asia & Pacific,Philippines,80.91,$8.30 (2021 PPP)
East Asia & Pacific,Palau,0,$3.00 (2021 PPP)
East Asia & Pacific,Palau,0,$4.20 (2021 PPP)
East Asia & Pacific,Palau,0,$8.30 (2021 PPP)
East Asia & Pacific,Papua New Guinea,4.69,$3.00 (2021 PPP)
East Asia & Pacific,Papua New Guinea,6.61,$4.20 (2021 PPP)
East Asia & Pacific,Papua New Guinea,9.7,$8.30 (2021 PPP)
Europe & Central Asia,Poland,0.08,$3.00 (2021 PPP)
Europe & Central Asia,Poland,0.11,$4.20 (2021 PPP)
Europe & Central Asia,Poland,0.32,$8.30 (2021 PPP)
Latin America & Caribbean,Puerto Rico (U.S.),0.02,$3.00 (2021 PPP)
Latin America & Caribbean,Puerto Rico (U.S.),0.03,$4.20 (2021 PPP)
Latin America & Caribbean,Puerto Rico (U.S.),0.11,$8.30 (2021 PPP)
East Asia & Pacific,"Korea, Dem. Rep.",1.49,$3.00 (2021 PPP)
East Asia & Pacific,"Korea, Dem. Rep.",3.61,$4.20 (2021 PPP)
East Asia & Pacific,"Korea, Dem. Rep.",14.12,$8.30 (2021 PPP)
Europe & Central Asia,Portugal,0.04,$3.00 (2021 PPP)
Europe & Central Asia,Portugal,0.07,$4.20 (2021 PPP)
Europe & Central Asia,Portugal,0.22,$8.30 (2021 PPP)
Latin America & Caribbean,Paraguay,0.12,$3.00 (2021 PPP)
Latin America & Caribbean,Paraguay,0.27,$4.20 (2021 PPP)
Latin America & Caribbean,Paraguay,1.28,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",West Bank and Gaza,0.22,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",West Bank and Gaza,0.52,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",West Bank and Gaza,2.15,$8.30 (2021 PPP)
East Asia & Pacific,French Polynesia,0,$3.00 (2021 PPP)
East Asia & Pacific,French Polynesia,0,$4.20 (2021 PPP)
East Asia & Pacific,French Polynesia,0,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Qatar,0,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Qatar,0,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Qatar,0,$8.30 (2021 PPP)
Europe & Central Asia,Romania,0.11,$3.00 (2021 PPP)
Europe & Central Asia,Romania,0.22,$4.20 (2021 PPP)
Europe & Central Asia,Romania,0.85,$8.30 (2021 PPP)
Europe & Central Asia,Russian Federation,0.11,$3.00 (2021 PPP)
Europe & Central Asia,Russian Federation,0.22,$4.20 (2021 PPP)
Europe & Central Asia,Russian Federation,1.06,$8.30 (2021 PPP)
Sub-Saharan Africa,Rwanda,4.92,$3.00 (2021 PPP)
Sub-Saharan Africa,Rwanda,8.49,$4.20 (2021 PPP)
Sub-Saharan Africa,Rwanda,13.12,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Saudi Arabia,0.01,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Saudi Arabia,0.03,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Saudi Arabia,0.18,$8.30 (2021 PPP)
Sub-Saharan Africa,Sudan,21.43,$3.00 (2021 PPP)
Sub-Saharan Africa,Sudan,33.78,$4.20 (2021 PPP)
Sub-Saharan Africa,Sudan,49.4,$8.30 (2021 PPP)
Sub-Saharan Africa,Senegal,2.85,$3.00 (2021 PPP)
Sub-Saharan Africa,Senegal,6.26,$4.20 (2021 PPP)
Sub-Saharan Africa,Senegal,14.64,$8.30 (2021 PPP)
East Asia & Pacific,Singapore,0,$3.00 (2021 PPP)
East Asia & Pacific,Singapore,0,$4.20 (2021 PPP)
East Asia & Pacific,Singapore,0,$8.30 (2021 PPP)
East Asia & Pacific,Solomon Islands,0.41,$3.00 (2021 PPP)
East Asia & Pacific,Solomon Islands,0.59,$4.20 (2021 PPP)
East Asia & Pacific,Solomon Islands,0.8,$8.30 (2021 PPP)
Sub-Saharan Africa,Sierra Leone,2.95,$3.00 (2021 PPP)
Sub-Saharan Africa,Sierra Leone,5.23,$4.20 (2021 PPP)
Sub-Saharan Africa,Sierra Leone,7.99,$8.30 (2021 PPP)
Latin America & Caribbean,El Salvador,0.27,$3.00 (2021 PPP)
Latin America & Caribbean,El Salvador,0.48,$4.20 (2021 PPP)
Latin America & Caribbean,El Salvador,1.7,$8.30 (2021 PPP)
Europe & Central Asia,San Marino,0,$3.00 (2021 PPP)
Europe & Central Asia,San Marino,0,$4.20 (2021 PPP)
Europe & Central Asia,San Marino,0,$8.30 (2021 PPP)
Sub-Saharan Africa,Federal Republic of Somalia,12.76,$3.00 (2021 PPP)
Sub-Saharan Africa,Federal Republic of Somalia,16.13,$4.20 (2021 PPP)
Sub-Saharan Africa,Federal Republic of Somalia,19.36,$8.30 (2021 PPP)
Europe & Central Asia,Serbia,0.06,$3.00 (2021 PPP)
Europe & Central Asia,Serbia,0.11,$4.20 (2021 PPP)
Europe & Central Asia,Serbia,0.44,$8.30 (2021 PPP)
Sub-Saharan Africa,South Sudan,10.2,$3.00 (2021 PPP)
Sub-Saharan Africa,South Sudan,11.34,$4.20 (2021 PPP)
Sub-Saharan Africa,South Sudan,12.24,$8.30 (2021 PPP)
Sub-Saharan Africa,São Tomé and Príncipe,0.03,$3.00 (2021 PPP)
Sub-Saharan Africa,São Tomé and Príncipe,0.07,$4.20 (2021 PPP)
Sub-Saharan Africa,São Tomé and Príncipe,0.17,$8.30 (2021 PPP)
Latin America & Caribbean,Suriname,0.01,$3.00 (2021 PPP)
Latin America & Caribbean,Suriname,0.03,$4.20 (2021 PPP)
Latin America & Caribbean,Suriname,0.12,$8.30 (2021 PPP)
Europe & Central Asia,Slovak Republic,0.02,$3.00 (2021 PPP)
Europe & Central Asia,Slovak Republic,0.04,$4.20 (2021 PPP)
Europe & Central Asia,Slovak Republic,0.2,$8.30 (2021 PPP)
Europe & Central Asia,Slovenia,0,$3.00 (2021 PPP)
Europe & Central Asia,Slovenia,0,$4.20 (2021 PPP)
Europe & Central Asia,Slovenia,0,$8.30 (2021 PPP)
Europe & Central Asia,Sweden,0.08,$3.00 (2021 PPP)
Europe & Central Asia,Sweden,0.1,$4.20 (2021 PPP)
Europe & Central Asia,Sweden,0.16,$8.30 (2021 PPP)
Sub-Saharan Africa,Eswatini,0.5,$3.00 (2021 PPP)
Sub-Saharan Africa,Eswatini,0.68,$4.20 (2021 PPP)
Sub-Saharan Africa,Eswatini,0.98,$8.30 (2021 PPP)
Latin America & Caribbean,Sint Maarten (Dutch part),0,$3.00 (2021 PPP)
Latin America & Caribbean,Sint Maarten (Dutch part),0,$4.20 (2021 PPP)
Latin America & Caribbean,Sint Maarten (Dutch part),0,$8.30 (2021 PPP)
Sub-Saharan Africa,Seychelles,0,$3.00 (2021 PPP)
Sub-Saharan Africa,Seychelles,0,$4.20 (2021 PPP)
Sub-Saharan Africa,Seychelles,0.01,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Syrian Arab Republic,6.64,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Syrian Arab Republic,13.71,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Syrian Arab Republic,24.5,$8.30 (2021 PPP)
Latin America & Caribbean,Turks and Caicos Islands,0,$3.00 (2021 PPP)
Latin America & Caribbean,Turks and Caicos Islands,0,$4.20 (2021 PPP)
Latin America & Caribbean,Turks and Caicos Islands,0,$8.30 (2021 PPP)
Sub-Saharan Africa,Chad,8.51,$3.00 (2021 PPP)
Sub-Saharan Africa,Chad,13.24,$4.20 (2021 PPP)
Sub-Saharan Africa,Chad,19.29,$8.30 (2021 PPP)
Sub-Saharan Africa,Togo,2.86,$3.00 (2021 PPP)
Sub-Saharan Africa,Togo,4.86,$4.20 (2021 PPP)
Sub-Saharan Africa,Togo,8.31,$8.30 (2021 PPP)
East Asia & Pacific,Thailand,0.01,$3.00 (2021 PPP)
East Asia & Pacific,Thailand,0.13,$4.20 (2021 PPP)
East Asia & Pacific,Thailand,7.6,$8.30 (2021 PPP)
Europe & Central Asia,Tajikistan,0.51,$3.00 (2021 PPP)
Europe & Central Asia,Tajikistan,1.56,$4.20 (2021 PPP)
Europe & Central Asia,Tajikistan,5.63,$8.30 (2021 PPP)
Europe & Central Asia,Turkmenistan,0.18,$3.00 (2021 PPP)
Europe & Central Asia,Turkmenistan,0.49,$4.20 (2021 PPP)
Europe & Central Asia,Turkmenistan,2.51,$8.30 (2021 PPP)
East Asia & Pacific,Timor-Leste,0.68,$3.00 (2021 PPP)
East Asia & Pacific,Timor-Leste,1.06,$4.20 (2021 PPP)
East Asia & Pacific,Timor-Leste,1.38,$8.30 (2021 PPP)
East Asia & Pacific,Tonga,0,$3.00 (2021 PPP)
East Asia & Pacific,Tonga,0,$4.20 (2021 PPP)
East Asia & Pacific,Tonga,0.02,$8.30 (2021 PPP)
Latin America & Caribbean,Trinidad and Tobago,0,$3.00 (2021 PPP)
Latin America & Caribbean,Trinidad and Tobago,0,$4.20 (2021 PPP)
Latin America & Caribbean,Trinidad and Tobago,0.07,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Tunisia,0.07,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Tunisia,0.26,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan",Tunisia,2.33,$8.30 (2021 PPP)
Europe & Central Asia,Türkiye,0.13,$3.00 (2021 PPP)
Europe & Central Asia,Türkiye,0.28,$4.20 (2021 PPP)
Europe & Central Asia,Türkiye,2.57,$8.30 (2021 PPP)
East Asia & Pacific,Tuvalu,0,$3.00 (2021 PPP)
East Asia & Pacific,Tuvalu,0,$4.20 (2021 PPP)
East Asia & Pacific,Tuvalu,0,$8.30 (2021 PPP)
East Asia & Pacific,"Taiwan, China",0,$3.00 (2021 PPP)
East Asia & Pacific,"Taiwan, China",0.01,$4.20 (2021 PPP)
East Asia & Pacific,"Taiwan, China",0.04,$8.30 (2021 PPP)
Sub-Saharan Africa,Tanzania,32.06,$3.00 (2021 PPP)
Sub-Saharan Africa,Tanzania,46.74,$4.20 (2021 PPP)
Sub-Saharan Africa,Tanzania,65.05,$8.30 (2021 PPP)
Sub-Saharan Africa,Uganda,27.72,$3.00 (2021 PPP)
Sub-Saharan Africa,Uganda,37.53,$4.20 (2021 PPP)
Sub-Saharan Africa,Uganda,48.39,$8.30 (2021 PPP)
Europe & Central Asia,Ukraine,0.01,$3.00 (2021 PPP)
Europe & Central Asia,Ukraine,0.08,$4.20 (2021 PPP)
Europe & Central Asia,Ukraine,4,$8.30 (2021 PPP)
Latin America & Caribbean,Uruguay,0.01,$3.00 (2021 PPP)
Latin America & Caribbean,Uruguay,0.02,$4.20 (2021 PPP)
Latin America & Caribbean,Uruguay,0.18,$8.30 (2021 PPP)
North America,United States,3.49,$3.00 (2021 PPP)
North America,United States,3.95,$4.20 (2021 PPP)
North America,United States,5.98,$8.30 (2021 PPP)
Europe & Central Asia,Uzbekistan,0.8,$3.00 (2021 PPP)
Europe & Central Asia,Uzbekistan,1.42,$4.20 (2021 PPP)
Europe & Central Asia,Uzbekistan,4.25,$8.30 (2021 PPP)
Latin America & Caribbean,St. Vincent and the Grenadines,0.01,$3.00 (2021 PPP)
Latin America & Caribbean,St. Vincent and the Grenadines,0.01,$4.20 (2021 PPP)
Latin America & Caribbean,St. Vincent and the Grenadines,0.03,$8.30 (2021 PPP)
Latin America & Caribbean,"Venezuela, RB",1.14,$3.00 (2021 PPP)
Latin America & Caribbean,"Venezuela, RB",2.16,$4.20 (2021 PPP)
Latin America & Caribbean,"Venezuela, RB",6.94,$8.30 (2021 PPP)
Latin America & Caribbean,British Virgin Islands,0,$3.00 (2021 PPP)
Latin America & Caribbean,British Virgin Islands,0,$4.20 (2021 PPP)
Latin America & Caribbean,British Virgin Islands,0,$8.30 (2021 PPP)
Latin America & Caribbean,Virgin Islands (U.S.),0,$3.00 (2021 PPP)
Latin America & Caribbean,Virgin Islands (U.S.),0,$4.20 (2021 PPP)
Latin America & Caribbean,Virgin Islands (U.S.),0,$8.30 (2021 PPP)
East Asia & Pacific,Viet Nam,1.06,$3.00 (2021 PPP)
East Asia & Pacific,Viet Nam,2.83,$4.20 (2021 PPP)
East Asia & Pacific,Viet Nam,15.69,$8.30 (2021 PPP)
East Asia & Pacific,Vanuatu,0.08,$3.00 (2021 PPP)
East Asia & Pacific,Vanuatu,0.14,$4.20 (2021 PPP)
East Asia & Pacific,Vanuatu,0.29,$8.30 (2021 PPP)
East Asia & Pacific,Samoa,0,$3.00 (2021 PPP)
East Asia & Pacific,Samoa,0.02,$4.20 (2021 PPP)
East Asia & Pacific,Samoa,0.08,$8.30 (2021 PPP)
Europe & Central Asia,Kosovo,0.12,$3.00 (2021 PPP)
Europe & Central Asia,Kosovo,0.17,$4.20 (2021 PPP)
Europe & Central Asia,Kosovo,0.44,$8.30 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Yemen, Rep.",32.06,$3.00 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Yemen, Rep.",37.26,$4.20 (2021 PPP)
"Middle East, North Africa, Afghanistan & Pakistan","Yemen, Rep.",41.93,$8.30 (2021 PPP)
Sub-Saharan Africa,South Africa,11.5,$3.00 (2021 PPP)
Sub-Saharan Africa,South Africa,19.86,$4.20 (2021 PPP)
Sub-Saharan Africa,South Africa,39.11,$8.30 (2021 PPP)
Sub-Saharan Africa,Zambia,15.65,$3.00 (2021 PPP)
Sub-Saharan Africa,Zambia,17.95,$4.20 (2021 PPP)
Sub-Saharan Africa,Zambia,21,$8.30 (2021 PPP)
Sub-Saharan Africa,Zimbabwe,7.85,$3.00 (2021 PPP)
Sub-Saharan Africa,Zimbabwe,10.49,$4.20 (2021 PPP)
Sub-Saharan Africa,Zimbabwe,14.61,$8.30 (2021 PPP)
