Country Name,Income classification 2021,Population 2021,Region,Country Code
Pakistan,Lower middle income,239477801,"Middle East, North Africa, Afghanistan & Pakistan",PAK
Panama,High income,4345405,Latin America & Caribbean,PAN
Panama,High income,4345405,Latin America & Caribbean,PAN
Panama,High income,4345405,Latin America & Caribbean,PAN
Peru,Upper middle income,33155882,Latin America & Caribbean,PER
Peru,Upper middle income,33155882,Latin America & Caribbean,PER
Peru,Upper middle income,33155882,Latin America & Caribbean,PER
Philippines,Lower middle income,113100950,East Asia & Pacific,PHL
Philippines,Lower middle income,113100950,East Asia & Pacific,PHL
Philippines,Lower middle income,113100950,East Asia & Pacific,PHL
Palau,High income,17783,East Asia & Pacific,PLW
Palau,High income,17783,East Asia & Pacific,PLW
Palau,High income,17783,East Asia & Pacific,PLW
Papua New Guinea,Lower middle income,10012896,East Asia & Pacific,PNG
Papua New Guinea,Lower middle income,10012896,East Asia & Pacific,PNG
Papua New Guinea,Lower middle income,10012896,East Asia & Pacific,PNG
Poland,High income,36981559,Europe & Central Asia,POL
Poland,High income,36981559,Europe & Central Asia,POL
Poland,High income,36981559,Europe & Central Asia,POL
Puerto Rico (U.S.),High income,3262711,Latin America & Caribbean,PRI
Puerto Rico (U.S.),High income,3262711,Latin America & Caribbean,PRI
Puerto Rico (U.S.),High income,3262711,Latin America & Caribbean,PRI
"Korea, Dem. Rep.",Low income,26232534,East Asia & Pacific,PRK
"Korea, Dem. Rep.",Low income,26232534,East Asia & Pacific,PRK
"Korea, Dem. Rep.",Low income,26232534,East Asia & Pacific,PRK
Portugal,High income,10361831,Europe & Central Asia,PRT
Portugal,High income,10361831,Europe & Central Asia,PRT
Portugal,High income,10361831,Europe & Central Asia,PRT
Paraguay,Upper middle income,6684182,Latin America & Caribbean,PRY
Paraguay,Upper middle income,6684182,Latin America & Caribbean,PRY
Paraguay,Upper middle income,6684182,Latin America & Caribbean,PRY
West Bank and Gaza,Lower middle income,4922749,"Middle East, North Africa, Afghanistan & Pakistan",PSE
West Bank and Gaza,Lower middle income,4922749,"Middle East, North Africa, Afghanistan & Pakistan",PSE
West Bank and Gaza,Lower middle income,4922749,"Middle East, North Africa, Afghanistan & Pakistan",PSE
French Polynesia,High income,279792,East Asia & Pacific,PYF
French Polynesia,High income,279792,East Asia & Pacific,PYF
French Polynesia,High income,279792,East Asia & Pacific,PYF
Qatar,High income,2504910,"Middle East, North Africa, Afghanistan & Pakistan",QAT
Qatar,High income,2504910,"Middle East, North Africa, Afghanistan & Pakistan",QAT
Qatar,High income,2504910,"Middle East, North Africa, Afghanistan & Pakistan",QAT
Romania,High income,19122059,Europe & Central Asia,ROU
Romania,High income,19122059,Europe & Central Asia,ROU
Romania,High income,19122059,Europe & Central Asia,ROU
Russian Federation,High income,144746762,Europe & Central Asia,RUS
Russian Federation,High income,144746762,Europe & Central Asia,RUS
Russian Federation,High income,144746762,Europe & Central Asia,RUS
Rwanda,Low income,13355260,Sub-Saharan Africa,RWA
Rwanda,Low income,13355260,Sub-Saharan Africa,RWA
Rwanda,Low income,13355260,Sub-Saharan Africa,RWA
Saudi Arabia,High income,30784383,"Middle East, North Africa, Afghanistan & Pakistan",SAU
Saudi Arabia,High income,30784383,"Middle East, North Africa, Afghanistan & Pakistan",SAU
Saudi Arabia,High income,30784383,"Middle East, North Africa, Afghanistan & Pakistan",SAU
Sudan,Low income,48066924,Sub-Saharan Africa,SDN
Sudan,Low income,48066924,Sub-Saharan Africa,SDN
Sudan,Low income,48066924,Sub-Saharan Africa,SDN
Senegal,Lower middle income,17220867,Sub-Saharan Africa,SEN
Senegal,Lower middle income,17220867,Sub-Saharan Africa,SEN
Senegal,Lower middle income,17220867,Sub-Saharan Africa,SEN
Singapore,High income,5453566,East Asia & Pacific,SGP
Singapore,High income,5453566,East Asia & Pacific,SGP
Singapore,High income,5453566,East Asia & Pacific,SGP
Solomon Islands,Lower middle income,762591,East Asia & Pacific,SLB
Solomon Islands,Lower middle income,762591,East Asia & Pacific,SLB
Solomon Islands,Lower middle income,762591,East Asia & Pacific,SLB
Sierra Leone,Low income,8094602,Sub-Saharan Africa,SLE
Sierra Leone,Low income,8094602,Sub-Saharan Africa,SLE
Sierra Leone,Low income,8094602,Sub-Saharan Africa,SLE
El Salvador,Upper middle income,6255782,Latin America & Caribbean,SLV
El Salvador,Upper middle income,6255782,Latin America & Caribbean,SLV
El Salvador,Upper middle income,6255782,Latin America & Caribbean,SLV
San Marino,High income,34252,Europe & Central Asia,SMR
San Marino,High income,34252,Europe & Central Asia,SMR
San Marino,High income,34252,Europe & Central Asia,SMR
Somalia,Low income,17271431,Sub-Saharan Africa,SOM
Somalia,Low income,17271431,Sub-Saharan Africa,SOM
Somalia,Low income,17271431,Sub-Saharan Africa,SOM
Serbia,Upper middle income,6834326,Europe & Central Asia,SRB
Serbia,Upper middle income,6834326,Europe & Central Asia,SRB
Serbia,Upper middle income,6834326,Europe & Central Asia,SRB
South Sudan,Low income,10865780,Sub-Saharan Africa,SSD
South Sudan,Low income,10865780,Sub-Saharan Africa,SSD
South Sudan,Low income,10865780,Sub-Saharan Africa,SSD
São Tomé and Príncipe,Lower middle income,221961,Sub-Saharan Africa,STP
São Tomé and Príncipe,Lower middle income,221961,Sub-Saharan Africa,STP
São Tomé and Príncipe,Lower middle income,221961,Sub-Saharan Africa,STP
Suriname,Upper middle income,617896,Latin America & Caribbean,SUR
Suriname,Upper middle income,617896,Latin America & Caribbean,SUR
Suriname,Upper middle income,617896,Latin America & Caribbean,SUR
Slovak Republic,High income,5447247,Europe & Central Asia,SVK
Slovak Republic,High income,5447247,Europe & Central Asia,SVK
Slovak Republic,High income,5447247,Europe & Central Asia,SVK
Slovenia,High income,2108079,Europe & Central Asia,SVN
Slovenia,High income,2108079,Europe & Central Asia,SVN
Slovenia,High income,2108079,Europe & Central Asia,SVN
Sweden,High income,10415811,Europe & Central Asia,SWE
Sweden,High income,10415811,Europe & Central Asia,SWE
Sweden,High income,10415811,Europe & Central Asia,SWE
Eswatini,Lower middle income,1206593,Sub-Saharan Africa,SWZ
Eswatini,Lower middle income,1206593,Sub-Saharan Africa,SWZ
Eswatini,Lower middle income,1206593,Sub-Saharan Africa,SWZ
Sint Maarten (Dutch part),High income,41571,Latin America & Caribbean,SXM
Sint Maarten (Dutch part),High income,41571,Latin America & Caribbean,SXM
Sint Maarten (Dutch part),High income,41571,Latin America & Caribbean,SXM
Seychelles,High income,99258,Sub-Saharan Africa,SYC
Seychelles,High income,99258,Sub-Saharan Africa,SYC
Seychelles,High income,99258,Sub-Saharan Africa,SYC
Syrian Arab Republic,Low income,21628839,"Middle East, North Africa, Afghanistan & Pakistan",SYR
Syrian Arab Republic,Low income,21628839,"Middle East, North Africa, Afghanistan & Pakistan",SYR
Syrian Arab Republic,Low income,21628839,"Middle East, North Africa, Afghanistan & Pakistan",SYR
Turks and Caicos Islands,High income,45243,Latin America & Caribbean,TCA
Turks and Caicos Islands,High income,45243,Latin America & Caribbean,TCA
Turks and Caicos Islands,High income,45243,Latin America & Caribbean,TCA
Chad,Low income,17828273,Sub-Saharan Africa,TCD
Chad,Low income,17828273,Sub-Saharan Africa,TCD
Chad,Low income,17828273,Sub-Saharan Africa,TCD
Togo,Low income,8878379,Sub-Saharan Africa,TGO
Togo,Low income,8878379,Sub-Saharan Africa,TGO
Togo,Low income,8878379,Sub-Saharan Africa,TGO
Thailand,Upper middle income,71727332,East Asia & Pacific,THA
Thailand,Upper middle income,71727332,East Asia & Pacific,THA
Thailand,Upper middle income,71727332,East Asia & Pacific,THA
Tajikistan,Lower middle income,9966908,Europe & Central Asia,TJK
Tajikistan,Lower middle income,9966908,Europe & Central Asia,TJK
Tajikistan,Lower middle income,9966908,Europe & Central Asia,TJK
Turkmenistan,Upper middle income,7092043,Europe & Central Asia,TKM
Turkmenistan,Upper middle income,7092043,Europe & Central Asia,TKM
Turkmenistan,Upper middle income,7092043,Europe & Central Asia,TKM
Timor-Leste,Lower middle income,1350139,East Asia & Pacific,TLS
Timor-Leste,Lower middle income,1350139,East Asia & Pacific,TLS
Timor-Leste,Lower middle income,1350139,East Asia & Pacific,TLS
Tonga,Upper middle income,105490,East Asia & Pacific,TON
Tonga,Upper middle income,105490,East Asia & Pacific,TON
Tonga,Upper middle income,105490,East Asia & Pacific,TON
Trinidad and Tobago,High income,1367558,Latin America & Caribbean,TTO
Trinidad and Tobago,High income,1367558,Latin America & Caribbean,TTO
Trinidad and Tobago,High income,1367558,Latin America & Caribbean,TTO
Tunisia,Lower middle income,12048622,"Middle East, North Africa, Afghanistan & Pakistan",TUN
Tunisia,Lower middle income,12048622,"Middle East, North Africa, Afghanistan & Pakistan",TUN
Tunisia,Lower middle income,12048622,"Middle East, North Africa, Afghanistan & Pakistan",TUN
Türkiye,Upper middle income,84147318,Europe & Central Asia,TUR
Türkiye,Upper middle income,84147318,Europe & Central Asia,TUR
Türkiye,Upper middle income,84147318,Europe & Central Asia,TUR
Tuvalu,Upper middle income,10194,East Asia & Pacific,TUV
Tuvalu,Upper middle income,10194,East Asia & Pacific,TUV
Tuvalu,Upper middle income,10194,East Asia & Pacific,TUV
"Taiwan, China",High income,23487509,East Asia & Pacific,TWN
"Taiwan, China",High income,23487509,East Asia & Pacific,TWN
"Taiwan, China",High income,23487509,East Asia & Pacific,TWN
Tanzania,Lower middle income,62830412,Sub-Saharan Africa,TZA
Tanzania,Lower middle income,62830412,Sub-Saharan Africa,TZA
Tanzania,Lower middle income,62830412,Sub-Saharan Africa,TZA
Uganda,Low income,45910930,Sub-Saharan Africa,UGA
Uganda,Low income,45910930,Sub-Saharan Africa,UGA
Uganda,Low income,45910930,Sub-Saharan Africa,UGA
Ukraine,Upper middle income,44298640,Europe & Central Asia,UKR
Ukraine,Upper middle income,44298640,Europe & Central Asia,UKR
Ukraine,Upper middle income,44298640,Europe & Central Asia,UKR
Uruguay,High income,3396695,Latin America & Caribbean,URY
Uruguay,High income,3396695,Latin America & Caribbean,URY
Uruguay,High income,3396695,Latin America & Caribbean,URY
United States,High income,332099760,North America,USA
United States,High income,332099760,North America,USA
United States,High income,332099760,North America,USA
Uzbekistan,Lower middle income,34243696,Europe & Central Asia,UZB
Uzbekistan,Lower middle income,34243696,Europe & Central Asia,UZB
Uzbekistan,Lower middle income,34243696,Europe & Central Asia,UZB
St. Vincent and the Grenadines,Upper middle income,102841,Latin America & Caribbean,VCT
St. Vincent and the Grenadines,Upper middle income,102841,Latin America & Caribbean,VCT
St. Vincent and the Grenadines,Upper middle income,102841,Latin America & Caribbean,VCT
"Venezuela, RB",Upper middle income,28237826,Latin America & Caribbean,VEN
"Venezuela, RB",Upper middle income,28237826,Latin America & Caribbean,VEN
"Venezuela, RB",Upper middle income,28237826,Latin America & Caribbean,VEN
British Virgin Islands,High income,37809,Latin America & Caribbean,VGB
British Virgin Islands,High income,37809,Latin America & Caribbean,VGB
British Virgin Islands,High income,37809,Latin America & Caribbean,VGB
Virgin Islands (U.S.),High income,105870,Latin America & Caribbean,VIR
Virgin Islands (U.S.),High income,105870,Latin America & Caribbean,VIR
Virgin Islands (U.S.),High income,105870,Latin America & Caribbean,VIR
Viet Nam,Lower middle income,98935098,East Asia & Pacific,VNM
Viet Nam,Lower middle income,98935098,East Asia & Pacific,VNM
Viet Nam,Lower middle income,98935098,East Asia & Pacific,VNM
Vanuatu,Lower middle income,305868,East Asia & Pacific,VUT
Vanuatu,Lower middle income,305868,East Asia & Pacific,VUT
Vanuatu,Lower middle income,305868,East Asia & Pacific,VUT
Samoa,Upper middle income,213779,East Asia & Pacific,WSM
Samoa,Upper middle income,213779,East Asia & Pacific,WSM
Samoa,Upper middle income,213779,East Asia & Pacific,WSM
Kosovo,Upper middle income,1786079,Europe & Central Asia,XKX
Kosovo,Upper middle income,1786079,Europe & Central Asia,XKX
Kosovo,Upper middle income,1786079,Europe & Central Asia,XKX
"Yemen, Rep.",Low income,37140230,"Middle East, North Africa, Afghanistan & Pakistan",YEM
"Yemen, Rep.",Low income,37140230,"Middle East, North Africa, Afghanistan & Pakistan",YEM
"Yemen, Rep.",Low income,37140230,"Middle East, North Africa, Afghanistan & Pakistan",YEM
South Africa,Upper middle income,61502603,Sub-Saharan Africa,ZAF
South Africa,Upper middle income,61502603,Sub-Saharan Africa,ZAF
South Africa,Upper middle income,61502603,Sub-Saharan Africa,ZAF
Zambia,Lower middle income,19603607,Sub-Saharan Africa,ZMB
Zambia,Lower middle income,19603607,Sub-Saharan Africa,ZMB
Zambia,Lower middle income,19603607,Sub-Saharan Africa,ZMB
Zimbabwe,Lower middle income,15797210,Sub-Saharan Africa,ZWE
Zimbabwe,Lower middle income,15797210,Sub-Saharan Africa,ZWE
Zimbabwe,Lower middle income,15797210,Sub-Saharan Africa,ZWE
